,git_hash,experiment_filestore,experiment,fuzzer,benchmark,time_started,time_ended,trial_id,time,edges_covered,fuzzer_stats,crash_key,bugs_covered
24,302d95bc86050651f5b9f0320c88adf5a86be50e,/home/nschiller/results/tosem/experiment-data,24h-sileo-bloatyfuzz-2n,sileo_aflpp_timeback_plain_purge,bloaty_fuzz_target,2023-12-09 13:55:37.097764,2023-12-10 14:05:52.173988,641,0,465,,,0
33,302d95bc86050651f5b9f0320c88adf5a86be50e,/home/nschiller/results/tosem/experiment-data,24h-sileo-bloatyfuzz-2n,sileo_aflpp_timeback_plain_purge,bloaty_fuzz_target,2023-12-09 13:55:37.097764,2023-12-10 14:05:52.173988,641,900,4440,,,0
66,302d95bc86050651f5b9f0320c88adf5a86be50e,/home/nschiller/results/tosem/experiment-data,24h-sileo-bloatyfuzz-2n,sileo_aflpp_timeback_plain_purge,bloaty_fuzz_target,2023-12-09 13:55:37.097764,2023-12-10 14:05:52.173988,641,1800,4646,,,0
113,302d95bc86050651f5b9f0320c88adf5a86be50e,/home/nschiller/results/tosem/experiment-data,24h-sileo-bloatyfuzz-2n,sileo_aflpp_timeback_plain_purge,bloaty_fuzz_target,2023-12-09 13:55:37.097764,2023-12-10 14:05:52.173988,641,2700,4938,,,0
135,302d95bc86050651f5b9f0320c88adf5a86be50e,/home/nschiller/results/tosem/experiment-data,24h-sileo-bloatyfuzz-2n,sileo_aflpp_timeback_plain_purge,bloaty_fuzz_target,2023-12-09 13:55:37.097764,2023-12-10 14:05:52.173988,641,3600,5011,,,0
157,302d95bc86050651f5b9f0320c88adf5a86be50e,/home/nschiller/results/tosem/experiment-data,24h-sileo-bloatyfuzz-2n,sileo_aflpp_timeback_plain_purge,bloaty_fuzz_target,2023-12-09 13:55:37.097764,2023-12-10 14:05:52.173988,641,4500,5106,,,0
205,302d95bc86050651f5b9f0320c88adf5a86be50e,/home/nschiller/results/tosem/experiment-data,24h-sileo-bloatyfuzz-2n,sileo_aflpp_timeback_plain_purge,bloaty_fuzz_target,2023-12-09 13:55:37.097764,2023-12-10 14:05:52.173988,641,5400,5235,,,0
223,302d95bc86050651f5b9f0320c88adf5a86be50e,/home/nschiller/results/tosem/experiment-data,24h-sileo-bloatyfuzz-2n,sileo_aflpp_timeback_plain_purge,bloaty_fuzz_target,2023-12-09 13:55:37.097764,2023-12-10 14:05:52.173988,641,6300,5289,,,0
254,302d95bc86050651f5b9f0320c88adf5a86be50e,/home/nschiller/results/tosem/experiment-data,24h-sileo-bloatyfuzz-2n,sileo_aflpp_timeback_plain_purge,bloaty_fuzz_target,2023-12-09 13:55:37.097764,2023-12-10 14:05:52.173988,641,7200,5304,,,0
277,302d95bc86050651f5b9f0320c88adf5a86be50e,/home/nschiller/results/tosem/experiment-data,24h-sileo-bloatyfuzz-2n,sileo_aflpp_timeback_plain_purge,bloaty_fuzz_target,2023-12-09 13:55:37.097764,2023-12-10 14:05:52.173988,641,8100,5320,,,0
