,git_hash,experiment_filestore,experiment,fuzzer,benchmark,time_started,time_ended,trial_id,time,edges_covered,fuzzer_stats,crash_key,bugs_covered
28,302d95bc86050651f5b9f0320c88adf5a86be50e,/home/nschiller/results/tosem/experiment-data,24h-sileo-libpcap-1n,aflplusplus,libpcap_fuzz_both,2023-12-04 13:43:11.285523,2023-12-05 13:53:26.933806,471,900,2089,,,0
63,302d95bc86050651f5b9f0320c88adf5a86be50e,/home/nschiller/results/tosem/experiment-data,24h-sileo-libpcap-1n,aflplusplus,libpcap_fuzz_both,2023-12-04 13:43:11.285523,2023-12-05 13:53:26.933806,471,1800,2151,,,0
83,302d95bc86050651f5b9f0320c88adf5a86be50e,/home/nschiller/results/tosem/experiment-data,24h-sileo-libpcap-1n,aflplusplus,libpcap_fuzz_both,2023-12-04 13:43:11.285523,2023-12-05 13:53:26.933806,471,2700,2158,,,0
124,302d95bc86050651f5b9f0320c88adf5a86be50e,/home/nschiller/results/tosem/experiment-data,24h-sileo-libpcap-1n,aflplusplus,libpcap_fuzz_both,2023-12-04 13:43:11.285523,2023-12-05 13:53:26.933806,471,3600,2159,,,0
162,302d95bc86050651f5b9f0320c88adf5a86be50e,/home/nschiller/results/tosem/experiment-data,24h-sileo-libpcap-1n,aflplusplus,libpcap_fuzz_both,2023-12-04 13:43:11.285523,2023-12-05 13:53:26.933806,471,4500,2178,,,0
222,302d95bc86050651f5b9f0320c88adf5a86be50e,/home/nschiller/results/tosem/experiment-data,24h-sileo-libpcap-1n,aflplusplus,libpcap_fuzz_both,2023-12-04 13:43:11.285523,2023-12-05 13:53:26.933806,471,5400,2235,,,0
240,302d95bc86050651f5b9f0320c88adf5a86be50e,/home/nschiller/results/tosem/experiment-data,24h-sileo-libpcap-1n,aflplusplus,libpcap_fuzz_both,2023-12-04 13:43:11.285523,2023-12-05 13:53:26.933806,471,6300,2273,,,0
295,302d95bc86050651f5b9f0320c88adf5a86be50e,/home/nschiller/results/tosem/experiment-data,24h-sileo-libpcap-1n,aflplusplus,libpcap_fuzz_both,2023-12-04 13:43:11.285523,2023-12-05 13:53:26.933806,471,7200,2279,,,0
325,302d95bc86050651f5b9f0320c88adf5a86be50e,/home/nschiller/results/tosem/experiment-data,24h-sileo-libpcap-1n,aflplusplus,libpcap_fuzz_both,2023-12-04 13:43:11.285523,2023-12-05 13:53:26.933806,471,8100,2281,,,0
361,302d95bc86050651f5b9f0320c88adf5a86be50e,/home/nschiller/results/tosem/experiment-data,24h-sileo-libpcap-1n,aflplusplus,libpcap_fuzz_both,2023-12-04 13:43:11.285523,2023-12-05 13:53:26.933806,471,9000,2281,,,0
402,302d95bc86050651f5b9f0320c88adf5a86be50e,/home/nschiller/results/tosem/experiment-data,24h-sileo-libpcap-1n,aflplusplus,libpcap_fuzz_both,2023-12-04 13:43:11.285523,2023-12-05 13:53:26.933806,471,9900,2314,,,0
440,302d95bc86050651f5b9f0320c88adf5a86be50e,/home/nschiller/results/tosem/experiment-data,24h-sileo-libpcap-1n,aflplusplus,libpcap_fuzz_both,2023-12-04 13:43:11.285523,2023-12-05 13:53:26.933806,471,10800,2314,,,0
484,302d95bc86050651f5b9f0320c88adf5a86be50e,/home/nschiller/results/tosem/experiment-data,24h-sileo-libpcap-1n,aflplusplus,libpcap_fuzz_both,2023-12-04 13:43:11.285523,2023-12-05 13:53:26.933806,471,11700,2315,,,0
531,302d95bc86050651f5b9f0320c88adf5a86be50e,/home/nschiller/results/tosem/experiment-data,24h-sileo-libpcap-1n,aflplusplus,libpcap_fuzz_both,2023-12-04 13:43:11.285523,2023-12-05 13:53:26.933806,471,12600,2327,,,0
563,302d95bc86050651f5b9f0320c88adf5a86be50e,/home/nschiller/results/tosem/experiment-data,24h-sileo-libpcap-1n,aflplusplus,libpcap_fuzz_both,2023-12-04 13:43:11.285523,2023-12-05 13:53:26.933806,471,13500,2328,,,0
601,302d95bc86050651f5b9f0320c88adf5a86be50e,/home/nschiller/results/tosem/experiment-data,24h-sileo-libpcap-1n,aflplusplus,libpcap_fuzz_both,2023-12-04 13:43:11.285523,2023-12-05 13:53:26.933806,471,14400,2329,,,0
640,302d95bc86050651f5b9f0320c88adf5a86be50e,/home/nschiller/results/tosem/experiment-data,24h-sileo-libpcap-1n,aflplusplus,libpcap_fuzz_both,2023-12-04 13:43:11.285523,2023-12-05 13:53:26.933806,471,15300,2332,,,0
683,302d95bc86050651f5b9f0320c88adf5a86be50e,/home/nschiller/results/tosem/experiment-data,24h-sileo-libpcap-1n,aflplusplus,libpcap_fuzz_both,2023-12-04 13:43:11.285523,2023-12-05 13:53:26.933806,471,16200,2334,,,0
727,302d95bc86050651f5b9f0320c88adf5a86be50e,/home/nschiller/results/tosem/experiment-data,24h-sileo-libpcap-1n,aflplusplus,libpcap_fuzz_both,2023-12-04 13:43:11.285523,2023-12-05 13:53:26.933806,471,17100,2344,,,0
767,302d95bc86050651f5b9f0320c88adf5a86be50e,/home/nschiller/results/tosem/experiment-data,24h-sileo-libpcap-1n,aflplusplus,libpcap_fuzz_both,2023-12-04 13:43:11.285523,2023-12-05 13:53:26.933806,471,18000,2345,,,0
802,302d95bc86050651f5b9f0320c88adf5a86be50e,/home/nschiller/results/tosem/experiment-data,24h-sileo-libpcap-1n,aflplusplus,libpcap_fuzz_both,2023-12-04 13:43:11.285523,2023-12-05 13:53:26.933806,471,18900,2345,,,0
844,302d95bc86050651f5b9f0320c88adf5a86be50e,/home/nschiller/results/tosem/experiment-data,24h-sileo-libpcap-1n,aflplusplus,libpcap_fuzz_both,2023-12-04 13:43:11.285523,2023-12-05 13:53:26.933806,471,19800,2346,,,0
