,git_hash,experiment_filestore,experiment,fuzzer,benchmark,time_started,time_ended,trial_id,time,edges_covered,fuzzer_stats,crash_key,bugs_covered
7,302d95bc86050651f5b9f0320c88adf5a86be50e,/home/nschiller/results/tosem/experiment-data,24h-sileo-libpng-3n,sileo_aflpp_corpus_del_force_240,libpng_libpng_read_fuzzer,2023-11-24 21:20:51.845081,2023-11-25 21:31:07.972178,461,900,1955,,,0
53,302d95bc86050651f5b9f0320c88adf5a86be50e,/home/nschiller/results/tosem/experiment-data,24h-sileo-libpng-3n,sileo_aflpp_corpus_del_force_240,libpng_libpng_read_fuzzer,2023-11-24 21:20:51.845081,2023-11-25 21:31:07.972178,461,1800,1974,,,0
60,302d95bc86050651f5b9f0320c88adf5a86be50e,/home/nschiller/results/tosem/experiment-data,24h-sileo-libpng-3n,sileo_aflpp_corpus_del_force_240,libpng_libpng_read_fuzzer,2023-11-24 21:20:51.845081,2023-11-25 21:31:07.972178,461,2700,1979,,,0
106,302d95bc86050651f5b9f0320c88adf5a86be50e,/home/nschiller/results/tosem/experiment-data,24h-sileo-libpng-3n,sileo_aflpp_corpus_del_force_240,libpng_libpng_read_fuzzer,2023-11-24 21:20:51.845081,2023-11-25 21:31:07.972178,461,3600,1999,,,0
128,302d95bc86050651f5b9f0320c88adf5a86be50e,/home/nschiller/results/tosem/experiment-data,24h-sileo-libpng-3n,sileo_aflpp_corpus_del_force_240,libpng_libpng_read_fuzzer,2023-11-24 21:20:51.845081,2023-11-25 21:31:07.972178,461,4500,1999,,,0
166,302d95bc86050651f5b9f0320c88adf5a86be50e,/home/nschiller/results/tosem/experiment-data,24h-sileo-libpng-3n,sileo_aflpp_corpus_del_force_240,libpng_libpng_read_fuzzer,2023-11-24 21:20:51.845081,2023-11-25 21:31:07.972178,461,5400,1999,,,0
193,302d95bc86050651f5b9f0320c88adf5a86be50e,/home/nschiller/results/tosem/experiment-data,24h-sileo-libpng-3n,sileo_aflpp_corpus_del_force_240,libpng_libpng_read_fuzzer,2023-11-24 21:20:51.845081,2023-11-25 21:31:07.972178,461,6300,1999,,,0
229,302d95bc86050651f5b9f0320c88adf5a86be50e,/home/nschiller/results/tosem/experiment-data,24h-sileo-libpng-3n,sileo_aflpp_corpus_del_force_240,libpng_libpng_read_fuzzer,2023-11-24 21:20:51.845081,2023-11-25 21:31:07.972178,461,7200,1999,,,0
249,302d95bc86050651f5b9f0320c88adf5a86be50e,/home/nschiller/results/tosem/experiment-data,24h-sileo-libpng-3n,sileo_aflpp_corpus_del_force_240,libpng_libpng_read_fuzzer,2023-11-24 21:20:51.845081,2023-11-25 21:31:07.972178,461,8100,1999,,,0
270,302d95bc86050651f5b9f0320c88adf5a86be50e,/home/nschiller/results/tosem/experiment-data,24h-sileo-libpng-3n,sileo_aflpp_corpus_del_force_240,libpng_libpng_read_fuzzer,2023-11-24 21:20:51.845081,2023-11-25 21:31:07.972178,461,9000,1999,,,0
307,302d95bc86050651f5b9f0320c88adf5a86be50e,/home/nschiller/results/tosem/experiment-data,24h-sileo-libpng-3n,sileo_aflpp_corpus_del_force_240,libpng_libpng_read_fuzzer,2023-11-24 21:20:51.845081,2023-11-25 21:31:07.972178,461,9900,1999,,,0
350,302d95bc86050651f5b9f0320c88adf5a86be50e,/home/nschiller/results/tosem/experiment-data,24h-sileo-libpng-3n,sileo_aflpp_corpus_del_force_240,libpng_libpng_read_fuzzer,2023-11-24 21:20:51.845081,2023-11-25 21:31:07.972178,461,10800,2000,,,0
361,302d95bc86050651f5b9f0320c88adf5a86be50e,/home/nschiller/results/tosem/experiment-data,24h-sileo-libpng-3n,sileo_aflpp_corpus_del_force_240,libpng_libpng_read_fuzzer,2023-11-24 21:20:51.845081,2023-11-25 21:31:07.972178,461,11700,2000,,,0
403,302d95bc86050651f5b9f0320c88adf5a86be50e,/home/nschiller/results/tosem/experiment-data,24h-sileo-libpng-3n,sileo_aflpp_corpus_del_force_240,libpng_libpng_read_fuzzer,2023-11-24 21:20:51.845081,2023-11-25 21:31:07.972178,461,12600,2001,,,0
