,git_hash,experiment_filestore,experiment,fuzzer,benchmark,time_started,time_ended,trial_id,time,edges_covered,fuzzer_stats,crash_key,bugs_covered
5,a1b5f2568c880e8839354c7f0c06e087a5a077e3,/home/nschiller/results/tosem/experiment-data,24h-sileo-libpng-sampling,aflplusplus_sileo_sampling,libpng_libpng_read_fuzzer,2024-01-09 17:01:01.574215,2024-01-10 17:11:20.531028,1,900,1955,,,0
46,a1b5f2568c880e8839354c7f0c06e087a5a077e3,/home/nschiller/results/tosem/experiment-data,24h-sileo-libpng-sampling,aflplusplus_sileo_sampling,libpng_libpng_read_fuzzer,2024-01-09 17:01:01.574215,2024-01-10 17:11:20.531028,1,1800,1965,,,0
86,a1b5f2568c880e8839354c7f0c06e087a5a077e3,/home/nschiller/results/tosem/experiment-data,24h-sileo-libpng-sampling,aflplusplus_sileo_sampling,libpng_libpng_read_fuzzer,2024-01-09 17:01:01.574215,2024-01-10 17:11:20.531028,1,2700,1965,,,0
126,a1b5f2568c880e8839354c7f0c06e087a5a077e3,/home/nschiller/results/tosem/experiment-data,24h-sileo-libpng-sampling,aflplusplus_sileo_sampling,libpng_libpng_read_fuzzer,2024-01-09 17:01:01.574215,2024-01-10 17:11:20.531028,1,3600,1982,,,0
165,a1b5f2568c880e8839354c7f0c06e087a5a077e3,/home/nschiller/results/tosem/experiment-data,24h-sileo-libpng-sampling,aflplusplus_sileo_sampling,libpng_libpng_read_fuzzer,2024-01-09 17:01:01.574215,2024-01-10 17:11:20.531028,1,4500,1982,,,0
203,a1b5f2568c880e8839354c7f0c06e087a5a077e3,/home/nschiller/results/tosem/experiment-data,24h-sileo-libpng-sampling,aflplusplus_sileo_sampling,libpng_libpng_read_fuzzer,2024-01-09 17:01:01.574215,2024-01-10 17:11:20.531028,1,5400,1982,,,0
244,a1b5f2568c880e8839354c7f0c06e087a5a077e3,/home/nschiller/results/tosem/experiment-data,24h-sileo-libpng-sampling,aflplusplus_sileo_sampling,libpng_libpng_read_fuzzer,2024-01-09 17:01:01.574215,2024-01-10 17:11:20.531028,1,6300,1984,,,0
283,a1b5f2568c880e8839354c7f0c06e087a5a077e3,/home/nschiller/results/tosem/experiment-data,24h-sileo-libpng-sampling,aflplusplus_sileo_sampling,libpng_libpng_read_fuzzer,2024-01-09 17:01:01.574215,2024-01-10 17:11:20.531028,1,7200,1984,,,0
324,a1b5f2568c880e8839354c7f0c06e087a5a077e3,/home/nschiller/results/tosem/experiment-data,24h-sileo-libpng-sampling,aflplusplus_sileo_sampling,libpng_libpng_read_fuzzer,2024-01-09 17:01:01.574215,2024-01-10 17:11:20.531028,1,8100,1984,,,0
370,a1b5f2568c880e8839354c7f0c06e087a5a077e3,/home/nschiller/results/tosem/experiment-data,24h-sileo-libpng-sampling,aflplusplus_sileo_sampling,libpng_libpng_read_fuzzer,2024-01-09 17:01:01.574215,2024-01-10 17:11:20.531028,1,9000,1984,,,0
