,git_hash,experiment_filestore,experiment,fuzzer,benchmark,time_started,time_ended,trial_id,time,edges_covered,fuzzer_stats,crash_key,bugs_covered
1,302d95bc86050651f5b9f0320c88adf5a86be50e,/home/nschiller/results/tosem/experiment-data,24h-sileo-mupdf-1n,aflplusplus,mupdf_pdf_fuzzer,2023-11-22 15:04:32.436793,2023-11-23 15:14:47.782724,271,900,28247,,,0
40,302d95bc86050651f5b9f0320c88adf5a86be50e,/home/nschiller/results/tosem/experiment-data,24h-sileo-mupdf-1n,aflplusplus,mupdf_pdf_fuzzer,2023-11-22 15:04:32.436793,2023-11-23 15:14:47.782724,271,1800,28248,,,0
80,302d95bc86050651f5b9f0320c88adf5a86be50e,/home/nschiller/results/tosem/experiment-data,24h-sileo-mupdf-1n,aflplusplus,mupdf_pdf_fuzzer,2023-11-22 15:04:32.436793,2023-11-23 15:14:47.782724,271,2700,28248,,,0
121,302d95bc86050651f5b9f0320c88adf5a86be50e,/home/nschiller/results/tosem/experiment-data,24h-sileo-mupdf-1n,aflplusplus,mupdf_pdf_fuzzer,2023-11-22 15:04:32.436793,2023-11-23 15:14:47.782724,271,3600,28256,,,0
160,302d95bc86050651f5b9f0320c88adf5a86be50e,/home/nschiller/results/tosem/experiment-data,24h-sileo-mupdf-1n,aflplusplus,mupdf_pdf_fuzzer,2023-11-22 15:04:32.436793,2023-11-23 15:14:47.782724,271,4500,28258,,,0
203,302d95bc86050651f5b9f0320c88adf5a86be50e,/home/nschiller/results/tosem/experiment-data,24h-sileo-mupdf-1n,aflplusplus,mupdf_pdf_fuzzer,2023-11-22 15:04:32.436793,2023-11-23 15:14:47.782724,271,5400,28258,,,0
245,302d95bc86050651f5b9f0320c88adf5a86be50e,/home/nschiller/results/tosem/experiment-data,24h-sileo-mupdf-1n,aflplusplus,mupdf_pdf_fuzzer,2023-11-22 15:04:32.436793,2023-11-23 15:14:47.782724,271,6300,28504,,,0
283,302d95bc86050651f5b9f0320c88adf5a86be50e,/home/nschiller/results/tosem/experiment-data,24h-sileo-mupdf-1n,aflplusplus,mupdf_pdf_fuzzer,2023-11-22 15:04:32.436793,2023-11-23 15:14:47.782724,271,7200,28506,,,0
353,302d95bc86050651f5b9f0320c88adf5a86be50e,/home/nschiller/results/tosem/experiment-data,24h-sileo-mupdf-1n,aflplusplus,mupdf_pdf_fuzzer,2023-11-22 15:04:32.436793,2023-11-23 15:14:47.782724,271,8100,29173,,,0
370,302d95bc86050651f5b9f0320c88adf5a86be50e,/home/nschiller/results/tosem/experiment-data,24h-sileo-mupdf-1n,aflplusplus,mupdf_pdf_fuzzer,2023-11-22 15:04:32.436793,2023-11-23 15:14:47.782724,271,9000,30114,,,0
408,302d95bc86050651f5b9f0320c88adf5a86be50e,/home/nschiller/results/tosem/experiment-data,24h-sileo-mupdf-1n,aflplusplus,mupdf_pdf_fuzzer,2023-11-22 15:04:32.436793,2023-11-23 15:14:47.782724,271,9900,30631,,,0
460,302d95bc86050651f5b9f0320c88adf5a86be50e,/home/nschiller/results/tosem/experiment-data,24h-sileo-mupdf-1n,aflplusplus,mupdf_pdf_fuzzer,2023-11-22 15:04:32.436793,2023-11-23 15:14:47.782724,271,10800,31258,,,0
506,302d95bc86050651f5b9f0320c88adf5a86be50e,/home/nschiller/results/tosem/experiment-data,24h-sileo-mupdf-1n,aflplusplus,mupdf_pdf_fuzzer,2023-11-22 15:04:32.436793,2023-11-23 15:14:47.782724,271,11700,31381,,,0
542,302d95bc86050651f5b9f0320c88adf5a86be50e,/home/nschiller/results/tosem/experiment-data,24h-sileo-mupdf-1n,aflplusplus,mupdf_pdf_fuzzer,2023-11-22 15:04:32.436793,2023-11-23 15:14:47.782724,271,12600,31640,,,0
585,302d95bc86050651f5b9f0320c88adf5a86be50e,/home/nschiller/results/tosem/experiment-data,24h-sileo-mupdf-1n,aflplusplus,mupdf_pdf_fuzzer,2023-11-22 15:04:32.436793,2023-11-23 15:14:47.782724,271,13500,31820,,,0
630,302d95bc86050651f5b9f0320c88adf5a86be50e,/home/nschiller/results/tosem/experiment-data,24h-sileo-mupdf-1n,aflplusplus,mupdf_pdf_fuzzer,2023-11-22 15:04:32.436793,2023-11-23 15:14:47.782724,271,14400,32055,,,0
656,302d95bc86050651f5b9f0320c88adf5a86be50e,/home/nschiller/results/tosem/experiment-data,24h-sileo-mupdf-1n,aflplusplus,mupdf_pdf_fuzzer,2023-11-22 15:04:32.436793,2023-11-23 15:14:47.782724,271,15300,32122,,,0
710,302d95bc86050651f5b9f0320c88adf5a86be50e,/home/nschiller/results/tosem/experiment-data,24h-sileo-mupdf-1n,aflplusplus,mupdf_pdf_fuzzer,2023-11-22 15:04:32.436793,2023-11-23 15:14:47.782724,271,16200,32278,,,0
733,302d95bc86050651f5b9f0320c88adf5a86be50e,/home/nschiller/results/tosem/experiment-data,24h-sileo-mupdf-1n,aflplusplus,mupdf_pdf_fuzzer,2023-11-22 15:04:32.436793,2023-11-23 15:14:47.782724,271,17100,32332,,,0
774,302d95bc86050651f5b9f0320c88adf5a86be50e,/home/nschiller/results/tosem/experiment-data,24h-sileo-mupdf-1n,aflplusplus,mupdf_pdf_fuzzer,2023-11-22 15:04:32.436793,2023-11-23 15:14:47.782724,271,18000,32336,,,0
