,git_hash,experiment_filestore,experiment,fuzzer,benchmark,time_started,time_ended,trial_id,time,edges_covered,fuzzer_stats,crash_key,bugs_covered
1,302d95bc86050651f5b9f0320c88adf5a86be50e,/home/nschiller/results/tosem/experiment-data,24h-sileo-readelf-1n,aflplusplus,binutils_fuzz_readelf,2023-11-22 20:02:02.278574,2023-11-23 20:12:17.718645,341,900,9286,,,0
51,302d95bc86050651f5b9f0320c88adf5a86be50e,/home/nschiller/results/tosem/experiment-data,24h-sileo-readelf-1n,aflplusplus,binutils_fuzz_readelf,2023-11-22 20:02:02.278574,2023-11-23 20:12:17.718645,341,1800,9563,,,0
96,302d95bc86050651f5b9f0320c88adf5a86be50e,/home/nschiller/results/tosem/experiment-data,24h-sileo-readelf-1n,aflplusplus,binutils_fuzz_readelf,2023-11-22 20:02:02.278574,2023-11-23 20:12:17.718645,341,2700,9712,,,0
146,302d95bc86050651f5b9f0320c88adf5a86be50e,/home/nschiller/results/tosem/experiment-data,24h-sileo-readelf-1n,aflplusplus,binutils_fuzz_readelf,2023-11-22 20:02:02.278574,2023-11-23 20:12:17.718645,341,3600,10008,,,0
173,302d95bc86050651f5b9f0320c88adf5a86be50e,/home/nschiller/results/tosem/experiment-data,24h-sileo-readelf-1n,aflplusplus,binutils_fuzz_readelf,2023-11-22 20:02:02.278574,2023-11-23 20:12:17.718645,341,4500,10838,,,0
216,302d95bc86050651f5b9f0320c88adf5a86be50e,/home/nschiller/results/tosem/experiment-data,24h-sileo-readelf-1n,aflplusplus,binutils_fuzz_readelf,2023-11-22 20:02:02.278574,2023-11-23 20:12:17.718645,341,5400,11206,,,0
243,302d95bc86050651f5b9f0320c88adf5a86be50e,/home/nschiller/results/tosem/experiment-data,24h-sileo-readelf-1n,aflplusplus,binutils_fuzz_readelf,2023-11-22 20:02:02.278574,2023-11-23 20:12:17.718645,341,6300,11269,,,0
292,302d95bc86050651f5b9f0320c88adf5a86be50e,/home/nschiller/results/tosem/experiment-data,24h-sileo-readelf-1n,aflplusplus,binutils_fuzz_readelf,2023-11-22 20:02:02.278574,2023-11-23 20:12:17.718645,341,7200,11301,,,0
331,302d95bc86050651f5b9f0320c88adf5a86be50e,/home/nschiller/results/tosem/experiment-data,24h-sileo-readelf-1n,aflplusplus,binutils_fuzz_readelf,2023-11-22 20:02:02.278574,2023-11-23 20:12:17.718645,341,8100,11334,,,0
367,302d95bc86050651f5b9f0320c88adf5a86be50e,/home/nschiller/results/tosem/experiment-data,24h-sileo-readelf-1n,aflplusplus,binutils_fuzz_readelf,2023-11-22 20:02:02.278574,2023-11-23 20:12:17.718645,341,9000,11348,,,0
407,302d95bc86050651f5b9f0320c88adf5a86be50e,/home/nschiller/results/tosem/experiment-data,24h-sileo-readelf-1n,aflplusplus,binutils_fuzz_readelf,2023-11-22 20:02:02.278574,2023-11-23 20:12:17.718645,341,9900,11455,,,0
442,302d95bc86050651f5b9f0320c88adf5a86be50e,/home/nschiller/results/tosem/experiment-data,24h-sileo-readelf-1n,aflplusplus,binutils_fuzz_readelf,2023-11-22 20:02:02.278574,2023-11-23 20:12:17.718645,341,10800,11467,,,0
486,302d95bc86050651f5b9f0320c88adf5a86be50e,/home/nschiller/results/tosem/experiment-data,24h-sileo-readelf-1n,aflplusplus,binutils_fuzz_readelf,2023-11-22 20:02:02.278574,2023-11-23 20:12:17.718645,341,11700,11478,,,0
522,302d95bc86050651f5b9f0320c88adf5a86be50e,/home/nschiller/results/tosem/experiment-data,24h-sileo-readelf-1n,aflplusplus,binutils_fuzz_readelf,2023-11-22 20:02:02.278574,2023-11-23 20:12:17.718645,341,12600,11484,,,0
562,302d95bc86050651f5b9f0320c88adf5a86be50e,/home/nschiller/results/tosem/experiment-data,24h-sileo-readelf-1n,aflplusplus,binutils_fuzz_readelf,2023-11-22 20:02:02.278574,2023-11-23 20:12:17.718645,341,13500,11503,,,0
601,302d95bc86050651f5b9f0320c88adf5a86be50e,/home/nschiller/results/tosem/experiment-data,24h-sileo-readelf-1n,aflplusplus,binutils_fuzz_readelf,2023-11-22 20:02:02.278574,2023-11-23 20:12:17.718645,341,14400,11568,,,0
640,302d95bc86050651f5b9f0320c88adf5a86be50e,/home/nschiller/results/tosem/experiment-data,24h-sileo-readelf-1n,aflplusplus,binutils_fuzz_readelf,2023-11-22 20:02:02.278574,2023-11-23 20:12:17.718645,341,15300,11580,,,0
681,302d95bc86050651f5b9f0320c88adf5a86be50e,/home/nschiller/results/tosem/experiment-data,24h-sileo-readelf-1n,aflplusplus,binutils_fuzz_readelf,2023-11-22 20:02:02.278574,2023-11-23 20:12:17.718645,341,16200,11591,,,0
724,302d95bc86050651f5b9f0320c88adf5a86be50e,/home/nschiller/results/tosem/experiment-data,24h-sileo-readelf-1n,aflplusplus,binutils_fuzz_readelf,2023-11-22 20:02:02.278574,2023-11-23 20:12:17.718645,341,17100,11699,,,0
769,302d95bc86050651f5b9f0320c88adf5a86be50e,/home/nschiller/results/tosem/experiment-data,24h-sileo-readelf-1n,aflplusplus,binutils_fuzz_readelf,2023-11-22 20:02:02.278574,2023-11-23 20:12:17.718645,341,18000,12424,,,0
831,302d95bc86050651f5b9f0320c88adf5a86be50e,/home/nschiller/results/tosem/experiment-data,24h-sileo-readelf-1n,aflplusplus,binutils_fuzz_readelf,2023-11-22 20:02:02.278574,2023-11-23 20:12:17.718645,341,18900,12747,,,0
846,302d95bc86050651f5b9f0320c88adf5a86be50e,/home/nschiller/results/tosem/experiment-data,24h-sileo-readelf-1n,aflplusplus,binutils_fuzz_readelf,2023-11-22 20:02:02.278574,2023-11-23 20:12:17.718645,341,19800,12889,,,0
888,302d95bc86050651f5b9f0320c88adf5a86be50e,/home/nschiller/results/tosem/experiment-data,24h-sileo-readelf-1n,aflplusplus,binutils_fuzz_readelf,2023-11-22 20:02:02.278574,2023-11-23 20:12:17.718645,341,20700,12959,,,0
930,302d95bc86050651f5b9f0320c88adf5a86be50e,/home/nschiller/results/tosem/experiment-data,24h-sileo-readelf-1n,aflplusplus,binutils_fuzz_readelf,2023-11-22 20:02:02.278574,2023-11-23 20:12:17.718645,341,21600,12996,,,0
963,302d95bc86050651f5b9f0320c88adf5a86be50e,/home/nschiller/results/tosem/experiment-data,24h-sileo-readelf-1n,aflplusplus,binutils_fuzz_readelf,2023-11-22 20:02:02.278574,2023-11-23 20:12:17.718645,341,22500,13182,,,0
1007,302d95bc86050651f5b9f0320c88adf5a86be50e,/home/nschiller/results/tosem/experiment-data,24h-sileo-readelf-1n,aflplusplus,binutils_fuzz_readelf,2023-11-22 20:02:02.278574,2023-11-23 20:12:17.718645,341,23400,13268,,,0
1044,302d95bc86050651f5b9f0320c88adf5a86be50e,/home/nschiller/results/tosem/experiment-data,24h-sileo-readelf-1n,aflplusplus,binutils_fuzz_readelf,2023-11-22 20:02:02.278574,2023-11-23 20:12:17.718645,341,24300,13284,,,0
1080,302d95bc86050651f5b9f0320c88adf5a86be50e,/home/nschiller/results/tosem/experiment-data,24h-sileo-readelf-1n,aflplusplus,binutils_fuzz_readelf,2023-11-22 20:02:02.278574,2023-11-23 20:12:17.718645,341,25200,13346,,,0
1123,302d95bc86050651f5b9f0320c88adf5a86be50e,/home/nschiller/results/tosem/experiment-data,24h-sileo-readelf-1n,aflplusplus,binutils_fuzz_readelf,2023-11-22 20:02:02.278574,2023-11-23 20:12:17.718645,341,26100,13351,,,0
1164,302d95bc86050651f5b9f0320c88adf5a86be50e,/home/nschiller/results/tosem/experiment-data,24h-sileo-readelf-1n,aflplusplus,binutils_fuzz_readelf,2023-11-22 20:02:02.278574,2023-11-23 20:12:17.718645,341,27000,13356,,,0
1203,302d95bc86050651f5b9f0320c88adf5a86be50e,/home/nschiller/results/tosem/experiment-data,24h-sileo-readelf-1n,aflplusplus,binutils_fuzz_readelf,2023-11-22 20:02:02.278574,2023-11-23 20:12:17.718645,341,27900,13374,,,0
1240,302d95bc86050651f5b9f0320c88adf5a86be50e,/home/nschiller/results/tosem/experiment-data,24h-sileo-readelf-1n,aflplusplus,binutils_fuzz_readelf,2023-11-22 20:02:02.278574,2023-11-23 20:12:17.718645,341,28800,13386,,,0
1280,302d95bc86050651f5b9f0320c88adf5a86be50e,/home/nschiller/results/tosem/experiment-data,24h-sileo-readelf-1n,aflplusplus,binutils_fuzz_readelf,2023-11-22 20:02:02.278574,2023-11-23 20:12:17.718645,341,29700,13402,,,0
1321,302d95bc86050651f5b9f0320c88adf5a86be50e,/home/nschiller/results/tosem/experiment-data,24h-sileo-readelf-1n,aflplusplus,binutils_fuzz_readelf,2023-11-22 20:02:02.278574,2023-11-23 20:12:17.718645,341,30600,13403,,,0
1365,302d95bc86050651f5b9f0320c88adf5a86be50e,/home/nschiller/results/tosem/experiment-data,24h-sileo-readelf-1n,aflplusplus,binutils_fuzz_readelf,2023-11-22 20:02:02.278574,2023-11-23 20:12:17.718645,341,31500,13404,,,0
1402,302d95bc86050651f5b9f0320c88adf5a86be50e,/home/nschiller/results/tosem/experiment-data,24h-sileo-readelf-1n,aflplusplus,binutils_fuzz_readelf,2023-11-22 20:02:02.278574,2023-11-23 20:12:17.718645,341,32400,13404,,,0
1440,302d95bc86050651f5b9f0320c88adf5a86be50e,/home/nschiller/results/tosem/experiment-data,24h-sileo-readelf-1n,aflplusplus,binutils_fuzz_readelf,2023-11-22 20:02:02.278574,2023-11-23 20:12:17.718645,341,33300,13405,,,0
1481,302d95bc86050651f5b9f0320c88adf5a86be50e,/home/nschiller/results/tosem/experiment-data,24h-sileo-readelf-1n,aflplusplus,binutils_fuzz_readelf,2023-11-22 20:02:02.278574,2023-11-23 20:12:17.718645,341,34200,13413,,,0
1523,302d95bc86050651f5b9f0320c88adf5a86be50e,/home/nschiller/results/tosem/experiment-data,24h-sileo-readelf-1n,aflplusplus,binutils_fuzz_readelf,2023-11-22 20:02:02.278574,2023-11-23 20:12:17.718645,341,35100,13515,,,0
1561,302d95bc86050651f5b9f0320c88adf5a86be50e,/home/nschiller/results/tosem/experiment-data,24h-sileo-readelf-1n,aflplusplus,binutils_fuzz_readelf,2023-11-22 20:02:02.278574,2023-11-23 20:12:17.718645,341,36000,13515,,,0
1604,302d95bc86050651f5b9f0320c88adf5a86be50e,/home/nschiller/results/tosem/experiment-data,24h-sileo-readelf-1n,aflplusplus,binutils_fuzz_readelf,2023-11-22 20:02:02.278574,2023-11-23 20:12:17.718645,341,36900,13516,,,0
