,git_hash,experiment_filestore,experiment,fuzzer,benchmark,time_started,time_ended,trial_id,time,edges_covered,fuzzer_stats,crash_key,bugs_covered
2,a1b5f2568c880e8839354c7f0c06e087a5a077e3,/home/nschiller/results/tosem/experiment-data,24h-sileo-sampling,aflplusplus_sileo_sampling,libpcap_fuzz_both,2023-12-28 14:10:04.977676,2023-12-29 14:20:21.273543,11,900,2346,,,0
35,a1b5f2568c880e8839354c7f0c06e087a5a077e3,/home/nschiller/results/tosem/experiment-data,24h-sileo-sampling,aflplusplus_sileo_sampling,libpcap_fuzz_both,2023-12-28 14:10:04.977676,2023-12-29 14:20:21.273543,11,1800,2414,,,0
85,a1b5f2568c880e8839354c7f0c06e087a5a077e3,/home/nschiller/results/tosem/experiment-data,24h-sileo-sampling,aflplusplus_sileo_sampling,libpcap_fuzz_both,2023-12-28 14:10:04.977676,2023-12-29 14:20:21.273543,11,2700,2435,,,0
99,a1b5f2568c880e8839354c7f0c06e087a5a077e3,/home/nschiller/results/tosem/experiment-data,24h-sileo-sampling,aflplusplus_sileo_sampling,libpcap_fuzz_both,2023-12-28 14:10:04.977676,2023-12-29 14:20:21.273543,11,3600,2441,,,0
123,a1b5f2568c880e8839354c7f0c06e087a5a077e3,/home/nschiller/results/tosem/experiment-data,24h-sileo-sampling,aflplusplus_sileo_sampling,libpcap_fuzz_both,2023-12-28 14:10:04.977676,2023-12-29 14:20:21.273543,11,4500,2443,,,0
155,a1b5f2568c880e8839354c7f0c06e087a5a077e3,/home/nschiller/results/tosem/experiment-data,24h-sileo-sampling,aflplusplus_sileo_sampling,libpcap_fuzz_both,2023-12-28 14:10:04.977676,2023-12-29 14:20:21.273543,11,5400,2467,,,0
202,a1b5f2568c880e8839354c7f0c06e087a5a077e3,/home/nschiller/results/tosem/experiment-data,24h-sileo-sampling,aflplusplus_sileo_sampling,libpcap_fuzz_both,2023-12-28 14:10:04.977676,2023-12-29 14:20:21.273543,11,6300,2475,,,0
215,a1b5f2568c880e8839354c7f0c06e087a5a077e3,/home/nschiller/results/tosem/experiment-data,24h-sileo-sampling,aflplusplus_sileo_sampling,libpcap_fuzz_both,2023-12-28 14:10:04.977676,2023-12-29 14:20:21.273543,11,7200,2478,,,0
247,a1b5f2568c880e8839354c7f0c06e087a5a077e3,/home/nschiller/results/tosem/experiment-data,24h-sileo-sampling,aflplusplus_sileo_sampling,libpcap_fuzz_both,2023-12-28 14:10:04.977676,2023-12-29 14:20:21.273543,11,8100,2478,,,0
278,a1b5f2568c880e8839354c7f0c06e087a5a077e3,/home/nschiller/results/tosem/experiment-data,24h-sileo-sampling,aflplusplus_sileo_sampling,libpcap_fuzz_both,2023-12-28 14:10:04.977676,2023-12-29 14:20:21.273543,11,9000,2478,,,0
323,a1b5f2568c880e8839354c7f0c06e087a5a077e3,/home/nschiller/results/tosem/experiment-data,24h-sileo-sampling,aflplusplus_sileo_sampling,libpcap_fuzz_both,2023-12-28 14:10:04.977676,2023-12-29 14:20:21.273543,11,9900,2483,,,0
336,a1b5f2568c880e8839354c7f0c06e087a5a077e3,/home/nschiller/results/tosem/experiment-data,24h-sileo-sampling,aflplusplus_sileo_sampling,libpcap_fuzz_both,2023-12-28 14:10:04.977676,2023-12-29 14:20:21.273543,11,10800,2495,,,0
368,a1b5f2568c880e8839354c7f0c06e087a5a077e3,/home/nschiller/results/tosem/experiment-data,24h-sileo-sampling,aflplusplus_sileo_sampling,libpcap_fuzz_both,2023-12-28 14:10:04.977676,2023-12-29 14:20:21.273543,11,11700,2495,,,0
398,a1b5f2568c880e8839354c7f0c06e087a5a077e3,/home/nschiller/results/tosem/experiment-data,24h-sileo-sampling,aflplusplus_sileo_sampling,libpcap_fuzz_both,2023-12-28 14:10:04.977676,2023-12-29 14:20:21.273543,11,12600,2501,,,0
428,a1b5f2568c880e8839354c7f0c06e087a5a077e3,/home/nschiller/results/tosem/experiment-data,24h-sileo-sampling,aflplusplus_sileo_sampling,libpcap_fuzz_both,2023-12-28 14:10:04.977676,2023-12-29 14:20:21.273543,11,13500,2501,,,0
457,a1b5f2568c880e8839354c7f0c06e087a5a077e3,/home/nschiller/results/tosem/experiment-data,24h-sileo-sampling,aflplusplus_sileo_sampling,libpcap_fuzz_both,2023-12-28 14:10:04.977676,2023-12-29 14:20:21.273543,11,14400,2503,,,0
486,a1b5f2568c880e8839354c7f0c06e087a5a077e3,/home/nschiller/results/tosem/experiment-data,24h-sileo-sampling,aflplusplus_sileo_sampling,libpcap_fuzz_both,2023-12-28 14:10:04.977676,2023-12-29 14:20:21.273543,11,15300,2504,,,0
518,a1b5f2568c880e8839354c7f0c06e087a5a077e3,/home/nschiller/results/tosem/experiment-data,24h-sileo-sampling,aflplusplus_sileo_sampling,libpcap_fuzz_both,2023-12-28 14:10:04.977676,2023-12-29 14:20:21.273543,11,16200,2504,,,0
540,a1b5f2568c880e8839354c7f0c06e087a5a077e3,/home/nschiller/results/tosem/experiment-data,24h-sileo-sampling,aflplusplus_sileo_sampling,libpcap_fuzz_both,2023-12-28 14:10:04.977676,2023-12-29 14:20:21.273543,11,17100,2504,,,0
585,a1b5f2568c880e8839354c7f0c06e087a5a077e3,/home/nschiller/results/tosem/experiment-data,24h-sileo-sampling,aflplusplus_sileo_sampling,libpcap_fuzz_both,2023-12-28 14:10:04.977676,2023-12-29 14:20:21.273543,11,18000,2575,,,0
606,a1b5f2568c880e8839354c7f0c06e087a5a077e3,/home/nschiller/results/tosem/experiment-data,24h-sileo-sampling,aflplusplus_sileo_sampling,libpcap_fuzz_both,2023-12-28 14:10:04.977676,2023-12-29 14:20:21.273543,11,18900,2583,,,0
635,a1b5f2568c880e8839354c7f0c06e087a5a077e3,/home/nschiller/results/tosem/experiment-data,24h-sileo-sampling,aflplusplus_sileo_sampling,libpcap_fuzz_both,2023-12-28 14:10:04.977676,2023-12-29 14:20:21.273543,11,19800,2587,,,0
662,a1b5f2568c880e8839354c7f0c06e087a5a077e3,/home/nschiller/results/tosem/experiment-data,24h-sileo-sampling,aflplusplus_sileo_sampling,libpcap_fuzz_both,2023-12-28 14:10:04.977676,2023-12-29 14:20:21.273543,11,20700,2600,,,0
706,a1b5f2568c880e8839354c7f0c06e087a5a077e3,/home/nschiller/results/tosem/experiment-data,24h-sileo-sampling,aflplusplus_sileo_sampling,libpcap_fuzz_both,2023-12-28 14:10:04.977676,2023-12-29 14:20:21.273543,11,21600,2605,,,0
729,a1b5f2568c880e8839354c7f0c06e087a5a077e3,/home/nschiller/results/tosem/experiment-data,24h-sileo-sampling,aflplusplus_sileo_sampling,libpcap_fuzz_both,2023-12-28 14:10:04.977676,2023-12-29 14:20:21.273543,11,22500,2617,,,0
754,a1b5f2568c880e8839354c7f0c06e087a5a077e3,/home/nschiller/results/tosem/experiment-data,24h-sileo-sampling,aflplusplus_sileo_sampling,libpcap_fuzz_both,2023-12-28 14:10:04.977676,2023-12-29 14:20:21.273543,11,23400,2617,,,0
782,a1b5f2568c880e8839354c7f0c06e087a5a077e3,/home/nschiller/results/tosem/experiment-data,24h-sileo-sampling,aflplusplus_sileo_sampling,libpcap_fuzz_both,2023-12-28 14:10:04.977676,2023-12-29 14:20:21.273543,11,24300,2617,,,0
811,a1b5f2568c880e8839354c7f0c06e087a5a077e3,/home/nschiller/results/tosem/experiment-data,24h-sileo-sampling,aflplusplus_sileo_sampling,libpcap_fuzz_both,2023-12-28 14:10:04.977676,2023-12-29 14:20:21.273543,11,25200,2617,,,0
849,a1b5f2568c880e8839354c7f0c06e087a5a077e3,/home/nschiller/results/tosem/experiment-data,24h-sileo-sampling,aflplusplus_sileo_sampling,libpcap_fuzz_both,2023-12-28 14:10:04.977676,2023-12-29 14:20:21.273543,11,26100,2622,,,0
873,a1b5f2568c880e8839354c7f0c06e087a5a077e3,/home/nschiller/results/tosem/experiment-data,24h-sileo-sampling,aflplusplus_sileo_sampling,libpcap_fuzz_both,2023-12-28 14:10:04.977676,2023-12-29 14:20:21.273543,11,27000,2622,,,0
909,a1b5f2568c880e8839354c7f0c06e087a5a077e3,/home/nschiller/results/tosem/experiment-data,24h-sileo-sampling,aflplusplus_sileo_sampling,libpcap_fuzz_both,2023-12-28 14:10:04.977676,2023-12-29 14:20:21.273543,11,27900,2628,,,0
949,a1b5f2568c880e8839354c7f0c06e087a5a077e3,/home/nschiller/results/tosem/experiment-data,24h-sileo-sampling,aflplusplus_sileo_sampling,libpcap_fuzz_both,2023-12-28 14:10:04.977676,2023-12-29 14:20:21.273543,11,28800,2628,,,0
967,a1b5f2568c880e8839354c7f0c06e087a5a077e3,/home/nschiller/results/tosem/experiment-data,24h-sileo-sampling,aflplusplus_sileo_sampling,libpcap_fuzz_both,2023-12-28 14:10:04.977676,2023-12-29 14:20:21.273543,11,29700,2630,,,0
999,a1b5f2568c880e8839354c7f0c06e087a5a077e3,/home/nschiller/results/tosem/experiment-data,24h-sileo-sampling,aflplusplus_sileo_sampling,libpcap_fuzz_both,2023-12-28 14:10:04.977676,2023-12-29 14:20:21.273543,11,30600,2631,,,0
1021,a1b5f2568c880e8839354c7f0c06e087a5a077e3,/home/nschiller/results/tosem/experiment-data,24h-sileo-sampling,aflplusplus_sileo_sampling,libpcap_fuzz_both,2023-12-28 14:10:04.977676,2023-12-29 14:20:21.273543,11,31500,2633,,,0
1056,a1b5f2568c880e8839354c7f0c06e087a5a077e3,/home/nschiller/results/tosem/experiment-data,24h-sileo-sampling,aflplusplus_sileo_sampling,libpcap_fuzz_both,2023-12-28 14:10:04.977676,2023-12-29 14:20:21.273543,11,32400,2634,,,0
