,git_hash,experiment_filestore,experiment,fuzzer,benchmark,time_started,time_ended,trial_id,time,edges_covered,fuzzer_stats,crash_key,bugs_covered
7,a1b5f2568c880e8839354c7f0c06e087a5a077e3,/home/nschiller/results/tosem/experiment-data,24h-sileo-sampling,aflplusplus_sileo_sampling,libpng_libpng_read_fuzzer,2023-12-28 14:10:04.963413,2023-12-29 14:20:21.273543,1,900,1947,,,0
30,a1b5f2568c880e8839354c7f0c06e087a5a077e3,/home/nschiller/results/tosem/experiment-data,24h-sileo-sampling,aflplusplus_sileo_sampling,libpng_libpng_read_fuzzer,2023-12-28 14:10:04.963413,2023-12-29 14:20:21.273543,1,1800,2000,,,0
65,a1b5f2568c880e8839354c7f0c06e087a5a077e3,/home/nschiller/results/tosem/experiment-data,24h-sileo-sampling,aflplusplus_sileo_sampling,libpng_libpng_read_fuzzer,2023-12-28 14:10:04.963413,2023-12-29 14:20:21.273543,1,2700,2000,,,0
93,a1b5f2568c880e8839354c7f0c06e087a5a077e3,/home/nschiller/results/tosem/experiment-data,24h-sileo-sampling,aflplusplus_sileo_sampling,libpng_libpng_read_fuzzer,2023-12-28 14:10:04.963413,2023-12-29 14:20:21.273543,1,3600,2001,,,0
127,a1b5f2568c880e8839354c7f0c06e087a5a077e3,/home/nschiller/results/tosem/experiment-data,24h-sileo-sampling,aflplusplus_sileo_sampling,libpng_libpng_read_fuzzer,2023-12-28 14:10:04.963413,2023-12-29 14:20:21.273543,1,4500,2002,,,0
157,a1b5f2568c880e8839354c7f0c06e087a5a077e3,/home/nschiller/results/tosem/experiment-data,24h-sileo-sampling,aflplusplus_sileo_sampling,libpng_libpng_read_fuzzer,2023-12-28 14:10:04.963413,2023-12-29 14:20:21.273543,1,5400,2003,,,0
183,a1b5f2568c880e8839354c7f0c06e087a5a077e3,/home/nschiller/results/tosem/experiment-data,24h-sileo-sampling,aflplusplus_sileo_sampling,libpng_libpng_read_fuzzer,2023-12-28 14:10:04.963413,2023-12-29 14:20:21.273543,1,6300,2003,,,0
210,a1b5f2568c880e8839354c7f0c06e087a5a077e3,/home/nschiller/results/tosem/experiment-data,24h-sileo-sampling,aflplusplus_sileo_sampling,libpng_libpng_read_fuzzer,2023-12-28 14:10:04.963413,2023-12-29 14:20:21.273543,1,7200,2003,,,0
244,a1b5f2568c880e8839354c7f0c06e087a5a077e3,/home/nschiller/results/tosem/experiment-data,24h-sileo-sampling,aflplusplus_sileo_sampling,libpng_libpng_read_fuzzer,2023-12-28 14:10:04.963413,2023-12-29 14:20:21.273543,1,8100,2003,,,0
276,a1b5f2568c880e8839354c7f0c06e087a5a077e3,/home/nschiller/results/tosem/experiment-data,24h-sileo-sampling,aflplusplus_sileo_sampling,libpng_libpng_read_fuzzer,2023-12-28 14:10:04.963413,2023-12-29 14:20:21.273543,1,9000,2003,,,0
303,a1b5f2568c880e8839354c7f0c06e087a5a077e3,/home/nschiller/results/tosem/experiment-data,24h-sileo-sampling,aflplusplus_sileo_sampling,libpng_libpng_read_fuzzer,2023-12-28 14:10:04.963413,2023-12-29 14:20:21.273543,1,9900,2003,,,0
330,a1b5f2568c880e8839354c7f0c06e087a5a077e3,/home/nschiller/results/tosem/experiment-data,24h-sileo-sampling,aflplusplus_sileo_sampling,libpng_libpng_read_fuzzer,2023-12-28 14:10:04.963413,2023-12-29 14:20:21.273543,1,10800,2003,,,0
363,a1b5f2568c880e8839354c7f0c06e087a5a077e3,/home/nschiller/results/tosem/experiment-data,24h-sileo-sampling,aflplusplus_sileo_sampling,libpng_libpng_read_fuzzer,2023-12-28 14:10:04.963413,2023-12-29 14:20:21.273543,1,11700,2003,,,0
390,a1b5f2568c880e8839354c7f0c06e087a5a077e3,/home/nschiller/results/tosem/experiment-data,24h-sileo-sampling,aflplusplus_sileo_sampling,libpng_libpng_read_fuzzer,2023-12-28 14:10:04.963413,2023-12-29 14:20:21.273543,1,12600,2003,,,0
421,a1b5f2568c880e8839354c7f0c06e087a5a077e3,/home/nschiller/results/tosem/experiment-data,24h-sileo-sampling,aflplusplus_sileo_sampling,libpng_libpng_read_fuzzer,2023-12-28 14:10:04.963413,2023-12-29 14:20:21.273543,1,13500,2003,,,0
451,a1b5f2568c880e8839354c7f0c06e087a5a077e3,/home/nschiller/results/tosem/experiment-data,24h-sileo-sampling,aflplusplus_sileo_sampling,libpng_libpng_read_fuzzer,2023-12-28 14:10:04.963413,2023-12-29 14:20:21.273543,1,14400,2003,,,0
480,a1b5f2568c880e8839354c7f0c06e087a5a077e3,/home/nschiller/results/tosem/experiment-data,24h-sileo-sampling,aflplusplus_sileo_sampling,libpng_libpng_read_fuzzer,2023-12-28 14:10:04.963413,2023-12-29 14:20:21.273543,1,15300,2003,,,0
512,a1b5f2568c880e8839354c7f0c06e087a5a077e3,/home/nschiller/results/tosem/experiment-data,24h-sileo-sampling,aflplusplus_sileo_sampling,libpng_libpng_read_fuzzer,2023-12-28 14:10:04.963413,2023-12-29 14:20:21.273543,1,16200,2003,,,0
541,a1b5f2568c880e8839354c7f0c06e087a5a077e3,/home/nschiller/results/tosem/experiment-data,24h-sileo-sampling,aflplusplus_sileo_sampling,libpng_libpng_read_fuzzer,2023-12-28 14:10:04.963413,2023-12-29 14:20:21.273543,1,17100,2003,,,0
582,a1b5f2568c880e8839354c7f0c06e087a5a077e3,/home/nschiller/results/tosem/experiment-data,24h-sileo-sampling,aflplusplus_sileo_sampling,libpng_libpng_read_fuzzer,2023-12-28 14:10:04.963413,2023-12-29 14:20:21.273543,1,18000,2003,,,0
605,a1b5f2568c880e8839354c7f0c06e087a5a077e3,/home/nschiller/results/tosem/experiment-data,24h-sileo-sampling,aflplusplus_sileo_sampling,libpng_libpng_read_fuzzer,2023-12-28 14:10:04.963413,2023-12-29 14:20:21.273543,1,18900,2003,,,0
637,a1b5f2568c880e8839354c7f0c06e087a5a077e3,/home/nschiller/results/tosem/experiment-data,24h-sileo-sampling,aflplusplus_sileo_sampling,libpng_libpng_read_fuzzer,2023-12-28 14:10:04.963413,2023-12-29 14:20:21.273543,1,19800,2003,,,0
660,a1b5f2568c880e8839354c7f0c06e087a5a077e3,/home/nschiller/results/tosem/experiment-data,24h-sileo-sampling,aflplusplus_sileo_sampling,libpng_libpng_read_fuzzer,2023-12-28 14:10:04.963413,2023-12-29 14:20:21.273543,1,20700,2003,,,0
703,a1b5f2568c880e8839354c7f0c06e087a5a077e3,/home/nschiller/results/tosem/experiment-data,24h-sileo-sampling,aflplusplus_sileo_sampling,libpng_libpng_read_fuzzer,2023-12-28 14:10:04.963413,2023-12-29 14:20:21.273543,1,21600,2003,,,0
722,a1b5f2568c880e8839354c7f0c06e087a5a077e3,/home/nschiller/results/tosem/experiment-data,24h-sileo-sampling,aflplusplus_sileo_sampling,libpng_libpng_read_fuzzer,2023-12-28 14:10:04.963413,2023-12-29 14:20:21.273543,1,22500,2003,,,0
758,a1b5f2568c880e8839354c7f0c06e087a5a077e3,/home/nschiller/results/tosem/experiment-data,24h-sileo-sampling,aflplusplus_sileo_sampling,libpng_libpng_read_fuzzer,2023-12-28 14:10:04.963413,2023-12-29 14:20:21.273543,1,23400,2003,,,0
