,git_hash,experiment_filestore,experiment,fuzzer,benchmark,time_started,time_ended,trial_id,time,edges_covered,fuzzer_stats,crash_key,bugs_covered
5771,a1b5f2568c880e8839354c7f0c06e087a5a077e3,/home/nschiller/results/tosem/experiment-data,24h-sileo-sampling,aflplusplus_sileo_sampling,sqlite3_ossfuzz,2023-12-30 14:30:38.198777,2023-12-31 14:40:53.406910,21,900,10761,,,0
5810,a1b5f2568c880e8839354c7f0c06e087a5a077e3,/home/nschiller/results/tosem/experiment-data,24h-sileo-sampling,aflplusplus_sileo_sampling,sqlite3_ossfuzz,2023-12-30 14:30:38.198777,2023-12-31 14:40:53.406910,21,1800,11051,,,0
5839,a1b5f2568c880e8839354c7f0c06e087a5a077e3,/home/nschiller/results/tosem/experiment-data,24h-sileo-sampling,aflplusplus_sileo_sampling,sqlite3_ossfuzz,2023-12-30 14:30:38.198777,2023-12-31 14:40:53.406910,21,2700,11224,,,0
5858,a1b5f2568c880e8839354c7f0c06e087a5a077e3,/home/nschiller/results/tosem/experiment-data,24h-sileo-sampling,aflplusplus_sileo_sampling,sqlite3_ossfuzz,2023-12-30 14:30:38.198777,2023-12-31 14:40:53.406910,21,3600,11388,,,0
5897,a1b5f2568c880e8839354c7f0c06e087a5a077e3,/home/nschiller/results/tosem/experiment-data,24h-sileo-sampling,aflplusplus_sileo_sampling,sqlite3_ossfuzz,2023-12-30 14:30:38.198777,2023-12-31 14:40:53.406910,21,4500,12027,,,0
5921,a1b5f2568c880e8839354c7f0c06e087a5a077e3,/home/nschiller/results/tosem/experiment-data,24h-sileo-sampling,aflplusplus_sileo_sampling,sqlite3_ossfuzz,2023-12-30 14:30:38.198777,2023-12-31 14:40:53.406910,21,5400,12062,,,0
5953,a1b5f2568c880e8839354c7f0c06e087a5a077e3,/home/nschiller/results/tosem/experiment-data,24h-sileo-sampling,aflplusplus_sileo_sampling,sqlite3_ossfuzz,2023-12-30 14:30:38.198777,2023-12-31 14:40:53.406910,21,6300,12131,,,0
5987,a1b5f2568c880e8839354c7f0c06e087a5a077e3,/home/nschiller/results/tosem/experiment-data,24h-sileo-sampling,aflplusplus_sileo_sampling,sqlite3_ossfuzz,2023-12-30 14:30:38.198777,2023-12-31 14:40:53.406910,21,7200,12259,,,0
6016,a1b5f2568c880e8839354c7f0c06e087a5a077e3,/home/nschiller/results/tosem/experiment-data,24h-sileo-sampling,aflplusplus_sileo_sampling,sqlite3_ossfuzz,2023-12-30 14:30:38.198777,2023-12-31 14:40:53.406910,21,8100,12292,,,0
6040,a1b5f2568c880e8839354c7f0c06e087a5a077e3,/home/nschiller/results/tosem/experiment-data,24h-sileo-sampling,aflplusplus_sileo_sampling,sqlite3_ossfuzz,2023-12-30 14:30:38.198777,2023-12-31 14:40:53.406910,21,9000,12369,,,0
6080,a1b5f2568c880e8839354c7f0c06e087a5a077e3,/home/nschiller/results/tosem/experiment-data,24h-sileo-sampling,aflplusplus_sileo_sampling,sqlite3_ossfuzz,2023-12-30 14:30:38.198777,2023-12-31 14:40:53.406910,21,9900,12477,,,0
