,git_hash,experiment_filestore,experiment,fuzzer,benchmark,time_started,time_ended,trial_id,time,edges_covered,fuzzer_stats,crash_key,bugs_covered
5,302d95bc86050651f5b9f0320c88adf5a86be50e,/home/nschiller/results/tosem/experiment-data,24h-sileo-sqlite3-3n,sileo_aflpp_corpus_del_force_240,sqlite3_ossfuzz,2023-11-27 23:25:18.219001,2023-11-28 23:35:33.577067,571,900,10662,,,0
33,302d95bc86050651f5b9f0320c88adf5a86be50e,/home/nschiller/results/tosem/experiment-data,24h-sileo-sqlite3-3n,sileo_aflpp_corpus_del_force_240,sqlite3_ossfuzz,2023-11-27 23:25:18.219001,2023-11-28 23:35:33.577067,571,1800,11178,,,0
66,302d95bc86050651f5b9f0320c88adf5a86be50e,/home/nschiller/results/tosem/experiment-data,24h-sileo-sqlite3-3n,sileo_aflpp_corpus_del_force_240,sqlite3_ossfuzz,2023-11-27 23:25:18.219001,2023-11-28 23:35:33.577067,571,2700,11521,,,0
100,302d95bc86050651f5b9f0320c88adf5a86be50e,/home/nschiller/results/tosem/experiment-data,24h-sileo-sqlite3-3n,sileo_aflpp_corpus_del_force_240,sqlite3_ossfuzz,2023-11-27 23:25:18.219001,2023-11-28 23:35:33.577067,571,3600,11809,,,0
123,302d95bc86050651f5b9f0320c88adf5a86be50e,/home/nschiller/results/tosem/experiment-data,24h-sileo-sqlite3-3n,sileo_aflpp_corpus_del_force_240,sqlite3_ossfuzz,2023-11-27 23:25:18.219001,2023-11-28 23:35:33.577067,571,4500,11931,,,0
156,302d95bc86050651f5b9f0320c88adf5a86be50e,/home/nschiller/results/tosem/experiment-data,24h-sileo-sqlite3-3n,sileo_aflpp_corpus_del_force_240,sqlite3_ossfuzz,2023-11-27 23:25:18.219001,2023-11-28 23:35:33.577067,571,5400,12134,,,0
192,302d95bc86050651f5b9f0320c88adf5a86be50e,/home/nschiller/results/tosem/experiment-data,24h-sileo-sqlite3-3n,sileo_aflpp_corpus_del_force_240,sqlite3_ossfuzz,2023-11-27 23:25:18.219001,2023-11-28 23:35:33.577067,571,6300,12434,,,0
212,302d95bc86050651f5b9f0320c88adf5a86be50e,/home/nschiller/results/tosem/experiment-data,24h-sileo-sqlite3-3n,sileo_aflpp_corpus_del_force_240,sqlite3_ossfuzz,2023-11-27 23:25:18.219001,2023-11-28 23:35:33.577067,571,7200,12434,,,0
242,302d95bc86050651f5b9f0320c88adf5a86be50e,/home/nschiller/results/tosem/experiment-data,24h-sileo-sqlite3-3n,sileo_aflpp_corpus_del_force_240,sqlite3_ossfuzz,2023-11-27 23:25:18.219001,2023-11-28 23:35:33.577067,571,8100,12434,,,0
271,302d95bc86050651f5b9f0320c88adf5a86be50e,/home/nschiller/results/tosem/experiment-data,24h-sileo-sqlite3-3n,sileo_aflpp_corpus_del_force_240,sqlite3_ossfuzz,2023-11-27 23:25:18.219001,2023-11-28 23:35:33.577067,571,9000,12434,,,0
300,302d95bc86050651f5b9f0320c88adf5a86be50e,/home/nschiller/results/tosem/experiment-data,24h-sileo-sqlite3-3n,sileo_aflpp_corpus_del_force_240,sqlite3_ossfuzz,2023-11-27 23:25:18.219001,2023-11-28 23:35:33.577067,571,9900,12434,,,0
333,302d95bc86050651f5b9f0320c88adf5a86be50e,/home/nschiller/results/tosem/experiment-data,24h-sileo-sqlite3-3n,sileo_aflpp_corpus_del_force_240,sqlite3_ossfuzz,2023-11-27 23:25:18.219001,2023-11-28 23:35:33.577067,571,10800,12434,,,0
361,302d95bc86050651f5b9f0320c88adf5a86be50e,/home/nschiller/results/tosem/experiment-data,24h-sileo-sqlite3-3n,sileo_aflpp_corpus_del_force_240,sqlite3_ossfuzz,2023-11-27 23:25:18.219001,2023-11-28 23:35:33.577067,571,11700,12434,,,0
390,302d95bc86050651f5b9f0320c88adf5a86be50e,/home/nschiller/results/tosem/experiment-data,24h-sileo-sqlite3-3n,sileo_aflpp_corpus_del_force_240,sqlite3_ossfuzz,2023-11-27 23:25:18.219001,2023-11-28 23:35:33.577067,571,12600,12434,,,0
422,302d95bc86050651f5b9f0320c88adf5a86be50e,/home/nschiller/results/tosem/experiment-data,24h-sileo-sqlite3-3n,sileo_aflpp_corpus_del_force_240,sqlite3_ossfuzz,2023-11-27 23:25:18.219001,2023-11-28 23:35:33.577067,571,13500,12434,,,0
450,302d95bc86050651f5b9f0320c88adf5a86be50e,/home/nschiller/results/tosem/experiment-data,24h-sileo-sqlite3-3n,sileo_aflpp_corpus_del_force_240,sqlite3_ossfuzz,2023-11-27 23:25:18.219001,2023-11-28 23:35:33.577067,571,14400,12434,,,0
490,302d95bc86050651f5b9f0320c88adf5a86be50e,/home/nschiller/results/tosem/experiment-data,24h-sileo-sqlite3-3n,sileo_aflpp_corpus_del_force_240,sqlite3_ossfuzz,2023-11-27 23:25:18.219001,2023-11-28 23:35:33.577067,571,15300,12760,,,0
529,302d95bc86050651f5b9f0320c88adf5a86be50e,/home/nschiller/results/tosem/experiment-data,24h-sileo-sqlite3-3n,sileo_aflpp_corpus_del_force_240,sqlite3_ossfuzz,2023-11-27 23:25:18.219001,2023-11-28 23:35:33.577067,571,16200,13024,,,0
553,302d95bc86050651f5b9f0320c88adf5a86be50e,/home/nschiller/results/tosem/experiment-data,24h-sileo-sqlite3-3n,sileo_aflpp_corpus_del_force_240,sqlite3_ossfuzz,2023-11-27 23:25:18.219001,2023-11-28 23:35:33.577067,571,17100,13175,,,0
594,302d95bc86050651f5b9f0320c88adf5a86be50e,/home/nschiller/results/tosem/experiment-data,24h-sileo-sqlite3-3n,sileo_aflpp_corpus_del_force_240,sqlite3_ossfuzz,2023-11-27 23:25:18.219001,2023-11-28 23:35:33.577067,571,18000,13409,,,0
603,302d95bc86050651f5b9f0320c88adf5a86be50e,/home/nschiller/results/tosem/experiment-data,24h-sileo-sqlite3-3n,sileo_aflpp_corpus_del_force_240,sqlite3_ossfuzz,2023-11-27 23:25:18.219001,2023-11-28 23:35:33.577067,571,18900,13508,,,0
636,302d95bc86050651f5b9f0320c88adf5a86be50e,/home/nschiller/results/tosem/experiment-data,24h-sileo-sqlite3-3n,sileo_aflpp_corpus_del_force_240,sqlite3_ossfuzz,2023-11-27 23:25:18.219001,2023-11-28 23:35:33.577067,571,19800,13738,,,0
677,302d95bc86050651f5b9f0320c88adf5a86be50e,/home/nschiller/results/tosem/experiment-data,24h-sileo-sqlite3-3n,sileo_aflpp_corpus_del_force_240,sqlite3_ossfuzz,2023-11-27 23:25:18.219001,2023-11-28 23:35:33.577067,571,20700,14115,,,0
703,302d95bc86050651f5b9f0320c88adf5a86be50e,/home/nschiller/results/tosem/experiment-data,24h-sileo-sqlite3-3n,sileo_aflpp_corpus_del_force_240,sqlite3_ossfuzz,2023-11-27 23:25:18.219001,2023-11-28 23:35:33.577067,571,21600,14389,,,0
728,302d95bc86050651f5b9f0320c88adf5a86be50e,/home/nschiller/results/tosem/experiment-data,24h-sileo-sqlite3-3n,sileo_aflpp_corpus_del_force_240,sqlite3_ossfuzz,2023-11-27 23:25:18.219001,2023-11-28 23:35:33.577067,571,22500,14602,,,0
758,302d95bc86050651f5b9f0320c88adf5a86be50e,/home/nschiller/results/tosem/experiment-data,24h-sileo-sqlite3-3n,sileo_aflpp_corpus_del_force_240,sqlite3_ossfuzz,2023-11-27 23:25:18.219001,2023-11-28 23:35:33.577067,571,23400,14761,,,0
797,302d95bc86050651f5b9f0320c88adf5a86be50e,/home/nschiller/results/tosem/experiment-data,24h-sileo-sqlite3-3n,sileo_aflpp_corpus_del_force_240,sqlite3_ossfuzz,2023-11-27 23:25:18.219001,2023-11-28 23:35:33.577067,571,24300,15493,,,0
821,302d95bc86050651f5b9f0320c88adf5a86be50e,/home/nschiller/results/tosem/experiment-data,24h-sileo-sqlite3-3n,sileo_aflpp_corpus_del_force_240,sqlite3_ossfuzz,2023-11-27 23:25:18.219001,2023-11-28 23:35:33.577067,571,25200,15831,,,0
846,302d95bc86050651f5b9f0320c88adf5a86be50e,/home/nschiller/results/tosem/experiment-data,24h-sileo-sqlite3-3n,sileo_aflpp_corpus_del_force_240,sqlite3_ossfuzz,2023-11-27 23:25:18.219001,2023-11-28 23:35:33.577067,571,26100,16202,,,0
884,302d95bc86050651f5b9f0320c88adf5a86be50e,/home/nschiller/results/tosem/experiment-data,24h-sileo-sqlite3-3n,sileo_aflpp_corpus_del_force_240,sqlite3_ossfuzz,2023-11-27 23:25:18.219001,2023-11-28 23:35:33.577067,571,27000,16932,,,0
907,302d95bc86050651f5b9f0320c88adf5a86be50e,/home/nschiller/results/tosem/experiment-data,24h-sileo-sqlite3-3n,sileo_aflpp_corpus_del_force_240,sqlite3_ossfuzz,2023-11-27 23:25:18.219001,2023-11-28 23:35:33.577067,571,27900,16962,,,0
931,302d95bc86050651f5b9f0320c88adf5a86be50e,/home/nschiller/results/tosem/experiment-data,24h-sileo-sqlite3-3n,sileo_aflpp_corpus_del_force_240,sqlite3_ossfuzz,2023-11-27 23:25:18.219001,2023-11-28 23:35:33.577067,571,28800,17139,,,0
