,git_hash,experiment_filestore,experiment,fuzzer,benchmark,time_started,time_ended,trial_id,time,edges_covered,fuzzer_stats,crash_key,bugs_covered
17,75f99d6e1a2c86434f9b1e92219cc8ea413d20ff,/home/nschiller/results/tosem/experiment-data,24h-sileo-sqlite3-cmin2,sileo_aflpp_corpus_del_purge,sqlite3_ossfuzz,2024-01-23 18:00:30.669518,2024-01-24 18:10:45.925266,391,900,9945,,,0
50,75f99d6e1a2c86434f9b1e92219cc8ea413d20ff,/home/nschiller/results/tosem/experiment-data,24h-sileo-sqlite3-cmin2,sileo_aflpp_corpus_del_purge,sqlite3_ossfuzz,2024-01-23 18:00:30.669518,2024-01-24 18:10:45.925266,391,1800,10474,,,0
90,75f99d6e1a2c86434f9b1e92219cc8ea413d20ff,/home/nschiller/results/tosem/experiment-data,24h-sileo-sqlite3-cmin2,sileo_aflpp_corpus_del_purge,sqlite3_ossfuzz,2024-01-23 18:00:30.669518,2024-01-24 18:10:45.925266,391,2700,10861,,,0
131,75f99d6e1a2c86434f9b1e92219cc8ea413d20ff,/home/nschiller/results/tosem/experiment-data,24h-sileo-sqlite3-cmin2,sileo_aflpp_corpus_del_purge,sqlite3_ossfuzz,2024-01-23 18:00:30.669518,2024-01-24 18:10:45.925266,391,3600,10966,,,0
192,75f99d6e1a2c86434f9b1e92219cc8ea413d20ff,/home/nschiller/results/tosem/experiment-data,24h-sileo-sqlite3-cmin2,sileo_aflpp_corpus_del_purge,sqlite3_ossfuzz,2024-01-23 18:00:30.669518,2024-01-24 18:10:45.925266,391,4500,11583,,,0
210,75f99d6e1a2c86434f9b1e92219cc8ea413d20ff,/home/nschiller/results/tosem/experiment-data,24h-sileo-sqlite3-cmin2,sileo_aflpp_corpus_del_purge,sqlite3_ossfuzz,2024-01-23 18:00:30.669518,2024-01-24 18:10:45.925266,391,5400,11784,,,0
252,75f99d6e1a2c86434f9b1e92219cc8ea413d20ff,/home/nschiller/results/tosem/experiment-data,24h-sileo-sqlite3-cmin2,sileo_aflpp_corpus_del_purge,sqlite3_ossfuzz,2024-01-23 18:00:30.669518,2024-01-24 18:10:45.925266,391,6300,12300,,,0
291,75f99d6e1a2c86434f9b1e92219cc8ea413d20ff,/home/nschiller/results/tosem/experiment-data,24h-sileo-sqlite3-cmin2,sileo_aflpp_corpus_del_purge,sqlite3_ossfuzz,2024-01-23 18:00:30.669518,2024-01-24 18:10:45.925266,391,7200,12508,,,0
331,75f99d6e1a2c86434f9b1e92219cc8ea413d20ff,/home/nschiller/results/tosem/experiment-data,24h-sileo-sqlite3-cmin2,sileo_aflpp_corpus_del_purge,sqlite3_ossfuzz,2024-01-23 18:00:30.669518,2024-01-24 18:10:45.925266,391,8100,12625,,,0
371,75f99d6e1a2c86434f9b1e92219cc8ea413d20ff,/home/nschiller/results/tosem/experiment-data,24h-sileo-sqlite3-cmin2,sileo_aflpp_corpus_del_purge,sqlite3_ossfuzz,2024-01-23 18:00:30.669518,2024-01-24 18:10:45.925266,391,9000,12729,,,0
419,75f99d6e1a2c86434f9b1e92219cc8ea413d20ff,/home/nschiller/results/tosem/experiment-data,24h-sileo-sqlite3-cmin2,sileo_aflpp_corpus_del_purge,sqlite3_ossfuzz,2024-01-23 18:00:30.669518,2024-01-24 18:10:45.925266,391,9900,13021,,,0
450,75f99d6e1a2c86434f9b1e92219cc8ea413d20ff,/home/nschiller/results/tosem/experiment-data,24h-sileo-sqlite3-cmin2,sileo_aflpp_corpus_del_purge,sqlite3_ossfuzz,2024-01-23 18:00:30.669518,2024-01-24 18:10:45.925266,391,10800,13091,,,0
495,75f99d6e1a2c86434f9b1e92219cc8ea413d20ff,/home/nschiller/results/tosem/experiment-data,24h-sileo-sqlite3-cmin2,sileo_aflpp_corpus_del_purge,sqlite3_ossfuzz,2024-01-23 18:00:30.669518,2024-01-24 18:10:45.925266,391,11700,13836,,,0
532,75f99d6e1a2c86434f9b1e92219cc8ea413d20ff,/home/nschiller/results/tosem/experiment-data,24h-sileo-sqlite3-cmin2,sileo_aflpp_corpus_del_purge,sqlite3_ossfuzz,2024-01-23 18:00:30.669518,2024-01-24 18:10:45.925266,391,12600,14243,,,0
572,75f99d6e1a2c86434f9b1e92219cc8ea413d20ff,/home/nschiller/results/tosem/experiment-data,24h-sileo-sqlite3-cmin2,sileo_aflpp_corpus_del_purge,sqlite3_ossfuzz,2024-01-23 18:00:30.669518,2024-01-24 18:10:45.925266,391,13500,14531,,,0
610,75f99d6e1a2c86434f9b1e92219cc8ea413d20ff,/home/nschiller/results/tosem/experiment-data,24h-sileo-sqlite3-cmin2,sileo_aflpp_corpus_del_purge,sqlite3_ossfuzz,2024-01-23 18:00:30.669518,2024-01-24 18:10:45.925266,391,14400,14695,,,0
650,75f99d6e1a2c86434f9b1e92219cc8ea413d20ff,/home/nschiller/results/tosem/experiment-data,24h-sileo-sqlite3-cmin2,sileo_aflpp_corpus_del_purge,sqlite3_ossfuzz,2024-01-23 18:00:30.669518,2024-01-24 18:10:45.925266,391,15300,14855,,,0
690,75f99d6e1a2c86434f9b1e92219cc8ea413d20ff,/home/nschiller/results/tosem/experiment-data,24h-sileo-sqlite3-cmin2,sileo_aflpp_corpus_del_purge,sqlite3_ossfuzz,2024-01-23 18:00:30.669518,2024-01-24 18:10:45.925266,391,16200,15076,,,0
730,75f99d6e1a2c86434f9b1e92219cc8ea413d20ff,/home/nschiller/results/tosem/experiment-data,24h-sileo-sqlite3-cmin2,sileo_aflpp_corpus_del_purge,sqlite3_ossfuzz,2024-01-23 18:00:30.669518,2024-01-24 18:10:45.925266,391,17100,15276,,,0
770,75f99d6e1a2c86434f9b1e92219cc8ea413d20ff,/home/nschiller/results/tosem/experiment-data,24h-sileo-sqlite3-cmin2,sileo_aflpp_corpus_del_purge,sqlite3_ossfuzz,2024-01-23 18:00:30.669518,2024-01-24 18:10:45.925266,391,18000,15384,,,0
810,75f99d6e1a2c86434f9b1e92219cc8ea413d20ff,/home/nschiller/results/tosem/experiment-data,24h-sileo-sqlite3-cmin2,sileo_aflpp_corpus_del_purge,sqlite3_ossfuzz,2024-01-23 18:00:30.669518,2024-01-24 18:10:45.925266,391,18900,15702,,,0
850,75f99d6e1a2c86434f9b1e92219cc8ea413d20ff,/home/nschiller/results/tosem/experiment-data,24h-sileo-sqlite3-cmin2,sileo_aflpp_corpus_del_purge,sqlite3_ossfuzz,2024-01-23 18:00:30.669518,2024-01-24 18:10:45.925266,391,19800,16021,,,0
890,75f99d6e1a2c86434f9b1e92219cc8ea413d20ff,/home/nschiller/results/tosem/experiment-data,24h-sileo-sqlite3-cmin2,sileo_aflpp_corpus_del_purge,sqlite3_ossfuzz,2024-01-23 18:00:30.669518,2024-01-24 18:10:45.925266,391,20700,16189,,,0
946,75f99d6e1a2c86434f9b1e92219cc8ea413d20ff,/home/nschiller/results/tosem/experiment-data,24h-sileo-sqlite3-cmin2,sileo_aflpp_corpus_del_purge,sqlite3_ossfuzz,2024-01-23 18:00:30.669518,2024-01-24 18:10:45.925266,391,21600,16341,,,0
975,75f99d6e1a2c86434f9b1e92219cc8ea413d20ff,/home/nschiller/results/tosem/experiment-data,24h-sileo-sqlite3-cmin2,sileo_aflpp_corpus_del_purge,sqlite3_ossfuzz,2024-01-23 18:00:30.669518,2024-01-24 18:10:45.925266,391,22500,16387,,,0
1011,75f99d6e1a2c86434f9b1e92219cc8ea413d20ff,/home/nschiller/results/tosem/experiment-data,24h-sileo-sqlite3-cmin2,sileo_aflpp_corpus_del_purge,sqlite3_ossfuzz,2024-01-23 18:00:30.669518,2024-01-24 18:10:45.925266,391,23400,16937,,,0
